Year,OSHPD ID,Facility Name,County Name,ER Service Level Desc,Type,Count
2012,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,74202
2013,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,8338
2013,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,72496
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,8457
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,66257
2015,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,7937
2015,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,65757
2016,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,7662
2016,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,61887
2017,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,7306
2017,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,58329
2018,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,7997
2018,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,54791
2019,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,61587
2019,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,8467
2020,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,60763
2020,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,9641
2012,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Admit,8360
2012,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Visit,92021
2013,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Admit,8587
2013,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Visit,85460
2014,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Admit,4480
2014,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Visit,44904
2012,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Admit,8173
2012,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Visit,68854
2013,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Admit,7085
2013,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Visit,72053
2014,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Admit,3160
2014,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Visit,34711
2012,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7842
2012,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,32673
2013,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7901
2013,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,33495
2014,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7523
2014,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,36755
2015,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8528
2015,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37936
2016,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8787
2016,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,38295
2017,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8696
2017,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37906
2018,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8882
2018,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,36395
2019,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,34894
2019,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8738
2020,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,26682
2020,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7871
2012,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4710
2012,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,30479
2013,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4579
2013,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,30189
2014,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4258
2014,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,32037
2015,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4463
2015,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,33076
2016,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4056
2016,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,31833
2017,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3738
2017,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,30315
2018,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3813
2018,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,29675
2019,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,29471
2019,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3580
2020,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,18424
2020,106010967,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3112
2012,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,7577
2012,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,41713
2013,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,7166
2013,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,42158
2014,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,7524
2014,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,42778
2015,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,7801
2015,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,43007
2016,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,7637
2016,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,42748
2017,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,9192
2017,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,42541
2018,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,8204
2018,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,41390
2019,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,43573
2019,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,8618
2020,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,49986
2020,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,6803
2012,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,3104
2012,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,23018
2013,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2634
2013,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,23191
2014,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2396
2014,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,27328
2015,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2738
2015,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,31045
2016,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2820
2016,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,31343
2017,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2787
2017,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,30639
2018,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2283
2018,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,27594
2019,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,15686
2019,106013619,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,1496
2012,106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,NOT APPLICABLE,ED_Admit,4
2012,106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,NOT APPLICABLE,ED_Visit,0
2019,106014034,FREMONT HOSPITAL,ALAMEDA,NOT APPLICABLE,ED_Visit,0
2019,106014034,FREMONT HOSPITAL,ALAMEDA,NOT APPLICABLE,ED_Admit,3
2012,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,4038
2012,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,24164
2013,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3884
2013,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,24380
2014,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3701
2014,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,25123
2015,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3750
2015,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,26334
2016,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,4051
2016,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,27659
2017,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3799
2017,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,28465
2018,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3773
2018,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,29465
2019,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,27883
2019,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,4059
2020,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,21459
2020,106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3667
2014,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,1274
2014,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,15582
2015,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,2721
2015,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,34515
2016,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,2787
2016,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,34285
2017,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,2729
2017,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,35994
2018,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,3097
2018,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,36878
2019,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,38249
2019,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,3084
2020,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,27215
2020,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,3347
2013,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6300
2013,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,32769
2014,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6178
2014,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,36537
2015,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,5750
2015,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,38120
2016,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6261
2016,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,39156
2017,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6680
2017,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37650
2018,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6937
2018,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37443
2019,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37055
2019,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7079
2020,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,27526
2020,106014233,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6677
2014,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,4630
2014,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,45673
2015,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,9862
2015,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,105134
2016,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,10597
2016,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,113325
2017,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,10991
2017,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,116124
2018,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,10693
2018,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,117567
2019,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,121399
2019,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,11669
2020,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,90517
2020,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,11196
2014,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,2377
2014,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,27125
2015,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,4350
2015,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,55395
2016,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,4776
2016,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,60271
2017,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,4872
2017,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,64008
2018,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,5242
2018,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,67678
2019,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,70730
2019,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,5539
2020,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,52165
2020,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,5376
2012,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1720
2012,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,16815
2013,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1834
2013,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,17696
2014,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1826
2014,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,18813
2015,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1943
2015,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,20422
2016,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1860
2016,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,22002
2017,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1887
2017,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,21986
2018,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1926
2018,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,20806
2019,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,21488
2019,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1850
2020,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Visit,19628
2020,106034002,SUTTER AMADOR HOSPITAL,AMADOR,BASIC,ED_Admit,1775
2012,106040802,ORCHARD HOSPITAL,BUTTE,STANDBY,ED_Admit,459
2012,106040802,ORCHARD HOSPITAL,BUTTE,STANDBY,ED_Visit,7657
2013,106040802,ORCHARD HOSPITAL,BUTTE,STANDBY,ED_Admit,556
2013,106040802,ORCHARD HOSPITAL,BUTTE,STANDBY,ED_Visit,9050
2014,106040802,ORCHARD HOSPITAL,BUTTE,STANDBY,ED_Admit,628
2014,106040802,ORCHARD HOSPITAL,BUTTE,STANDBY,ED_Visit,9803
